mashup_id,api_id,split
1085,241,train
1085,511,train
1121,294,train
1121,22524,train
1121,23008,train
1135,294,train
1137,1610,train
1137,23038,train
1150,23038,train
1167,117,train
1170,3646,train
1179,377,train
1179,331,train
1179,294,train
1193,241,train
1193,294,train
1194,241,train
1196,482,train
1196,117,train
1196,31,train
1200,331,train
1201,421,train
1201,258,train
1203,294,train
1203,7262,train
1209,3646,train
1209,258,train
1214,377,train
1214,449,train
1220,482,train
1221,241,train
1221,946,train
1225,964,train
1229,241,train
1229,1533,train
1229,3889,train
1229,288,train
1233,3993,train
1237,241,train
1239,241,train
1243,421,train
1243,1571,train
1245,4027,train
1248,331,train
1248,294,train
1248,3993,train
1257,445,train
1257,421,train
1257,922,train
1258,241,train
1258,294,train
1258,23290,train
1258,3889,train
1258,946,train
1258,75,train
1259,377,train
1259,331,train
1259,7733,train
1260,6456,train
1263,241,train
1263,934,train
1263,925,train
1263,23290,train
1267,377,train
1267,22438,train
1267,1555,train
1276,331,train
1283,331,train
1283,2879,train
1283,3506,train
1284,421,train
1284,294,train
1289,203,train
1292,3694,train
1301,1953,train
1301,3940,train
1302,67,train
1302,2722,train
1305,22524,train
1313,482,train
1316,241,train
1316,23298,train
1316,7545,train
1316,4269,train
1319,21899,train
1319,241,train
1319,331,train
1319,294,train
1319,2882,train
1319,21725,train
1319,22676,train
1340,203,train
1341,2570,train
1352,241,train
1360,482,train
1360,1627,train
1363,421,train
1363,1699,train
1363,294,train
1363,1966,train
1363,3730,train
1363,5619,train
1363,258,train
1363,22929,train
1365,372,train
1374,3817,train
1377,331,train
1377,67,train
1377,23183,train
1383,67,train
1383,23183,train
1406,21793,train
1420,301,train
1439,943,train
1439,394,train
1439,2753,train
1439,97,train
1439,268,train
1439,1571,train
1442,241,train
1442,23290,train
1446,336,train
1449,377,train
1449,930,train
1449,67,train
1449,294,train
1449,23097,train
1449,23006,train
1449,5146,train
1449,1596,train
1449,22290,train
1459,241,train
1459,421,train
1459,7601,train
1459,922,train
1460,445,train
1460,67,train
1460,394,train
1460,421,train
1460,22762,train
1460,3950,train
1460,1291,train
1460,5151,train
1460,2290,train
1460,6445,train
1460,1605,train
1460,7548,train
1460,22676,train
1460,5346,train
1461,22268,train
1465,23122,train
1472,331,train
1472,67,train
1476,3725,train
1476,1587,train
1477,939,train
1477,241,train
1477,294,train
1477,380,train
1477,5027,train
1479,21899,train
1479,301,train
1479,5027,train
1484,377,train
1484,964,train
1484,241,train
1484,421,train
1484,294,train
1484,934,train
1484,1302,train
1484,1547,train
1484,258,train
1484,246,train
1484,437,train
1486,241,train
1493,241,train
1493,1563,train
1496,482,train
1496,117,train
1496,773,train
1500,294,train
1500,2881,train
1504,5343,train
1504,6457,train
1505,331,train
1506,331,train
1506,966,train
1506,959,train
1521,22016,train
1521,294,train
1521,23482,train
1521,22044,train
1531,2729,train
1533,246,train
1534,241,train
1536,377,train
1536,191,train
1536,331,train
1536,294,train
1536,2600,train
1538,482,train
1538,2880,train
1542,241,train
1542,237,train
1542,258,train
1544,421,train
1544,294,train
1544,161,train
1546,22570,train
1548,2729,train
1552,377,train
1552,241,train
1552,421,train
1552,294,train
1552,923,train
1552,780,train
1554,241,train
1556,2612,train
